timestamp;ppg
2025-06-27T12:25:17.039830;54.3826
2025-06-27T12:25:17.089867;55.6587
2025-06-27T12:25:17.122696;55.6595
2025-06-27T12:25:17.154633;55.6895
2025-06-27T12:25:17.189755;55.6964
2025-06-27T12:25:17.222188;55.7292
2025-06-27T12:25:17.256428;55.7552
2025-06-27T12:25:17.295862;55.7702
2025-06-27T12:25:17.315404;55.8341
2025-06-27T12:25:17.346869;55.9654
2025-06-27T12:25:17.379839;56.0318
2025-06-27T12:25:17.413876;56.0643
2025-06-27T12:25:17.446116;56.0073
2025-06-27T12:25:17.480892;56.0170
2025-06-27T12:25:17.513078;56.0308
2025-06-27T12:25:17.548128;56.0937
2025-06-27T12:25:17.580252;56.0677
2025-06-27T12:25:17.613300;55.9657
2025-06-27T12:25:17.647626;55.8752
2025-06-27T12:25:17.681488;55.8507
2025-06-27T12:25:17.715576;55.7207
2025-06-27T12:25:17.746663;55.7732
2025-06-27T12:25:17.781700;55.8039
2025-06-27T12:25:17.823899;56.3747
2025-06-27T12:25:17.858688;56.3040
2025-06-27T12:25:17.892570;56.3785
2025-06-27T12:25:17.938128;56.4333
2025-06-27T12:25:17.963895;56.4608
2025-06-27T12:25:18.004952;56.4761
2025-06-27T12:25:18.025085;56.5530
2025-06-27T12:25:18.053878;56.5937
2025-06-27T12:25:18.091874;56.6758
2025-06-27T12:25:18.127008;56.6763
2025-06-27T12:25:18.157615;56.5953
2025-06-27T12:25:18.192899;56.5901
2025-06-27T12:25:18.223832;56.6688
2025-06-27T12:25:18.259953;56.7255
2025-06-27T12:25:18.294560;56.2680
2025-06-27T12:25:18.329531;56.4121
2025-06-27T12:25:18.358748;56.4487
2025-06-27T12:25:18.391541;56.4875
2025-06-27T12:25:18.424488;56.4782
2025-06-27T12:25:18.459315;56.5685
2025-06-27T12:25:18.494683;56.5697
2025-06-27T12:25:18.572036;56.0337
2025-06-27T12:25:18.584840;56.0957
2025-06-27T12:25:18.612695;56.0169
2025-06-27T12:25:18.631887;55.9132
2025-06-27T12:25:18.698209;55.9914
2025-06-27T12:25:18.730257;55.9562
2025-06-27T12:25:18.763742;56.0101
2025-06-27T12:25:18.798115;56.1349
2025-06-27T12:25:18.829991;56.1766
2025-06-27T12:25:18.867219;56.1675
2025-06-27T12:25:18.898439;56.2249
2025-06-27T12:25:18.927272;56.1238
2025-06-27T12:25:18.958771;56.1036
2025-06-27T12:25:18.995264;56.0885
2025-06-27T12:25:19.028172;56.0779
2025-06-27T12:25:19.057462;56.0963
2025-06-27T12:25:19.094262;56.1474
2025-06-27T12:25:19.130246;56.1097
2025-06-27T12:25:19.161186;56.1350
2025-06-27T12:25:19.206058;56.0692
2025-06-27T12:25:19.228014;56.0354
2025-06-27T12:25:19.264257;56.1912
2025-06-27T12:25:19.296542;56.0936
2025-06-27T12:25:19.328873;56.1456
2025-06-27T12:25:19.362794;56.1353
2025-06-27T12:25:19.394336;56.0728
2025-06-27T12:25:19.428321;56.0682
2025-06-27T12:25:19.454029;56.2057
2025-06-27T12:25:19.499625;56.2406
2025-06-27T12:25:19.542164;56.1754
2025-06-27T12:25:19.563052;56.0474
2025-06-27T12:25:19.581748;56.0549
2025-06-27T12:25:19.618023;56.0973
2025-06-27T12:25:19.664758;56.0544
2025-06-27T12:25:19.704087;56.1659
2025-06-27T12:25:19.730960;56.1955
2025-06-27T12:25:19.747673;56.1346
2025-06-27T12:25:19.796385;56.1330
2025-06-27T12:25:19.829695;56.1224
2025-06-27T12:25:19.852542;56.1701
2025-06-27T12:25:19.903134;56.1718
2025-06-27T12:25:19.927944;56.1788
2025-06-27T12:25:19.969832;56.1780
2025-06-27T12:25:19.995963;56.1294
2025-06-27T12:25:20.028855;56.2031
2025-06-27T12:25:20.060838;56.1995
2025-06-27T12:25:20.095289;56.2570
2025-06-27T12:25:20.127868;56.2501
2025-06-27T12:25:20.163076;56.3441
2025-06-27T12:25:20.197385;56.3774
2025-06-27T12:25:20.248238;56.3237
2025-06-27T12:25:20.260893;56.3735
2025-06-27T12:25:20.293262;56.2620
2025-06-27T12:25:20.323089;56.1775
2025-06-27T12:25:20.357303;56.1590
2025-06-27T12:25:20.391649;56.0657
2025-06-27T12:25:20.428517;56.1825
2025-06-27T12:25:20.458590;56.1596
2025-06-27T12:25:20.495085;56.2100
2025-06-27T12:25:20.527352;56.2443
2025-06-27T12:25:20.561082;56.1826
2025-06-27T12:25:20.594143;56.1475
2025-06-27T12:25:20.629022;56.1922
2025-06-27T12:25:20.661436;56.1911
2025-06-27T12:25:20.695181;56.2154
2025-06-27T12:25:20.726112;56.2458
2025-06-27T12:25:20.762875;56.2566
2025-06-27T12:25:20.793600;56.2707
2025-06-27T12:25:20.849694;56.3199
2025-06-27T12:25:20.871263;56.3418
2025-06-27T12:25:20.892462;56.3094
2025-06-27T12:25:20.927932;56.3633
2025-06-27T12:25:20.961949;56.4229
2025-06-27T12:25:20.996181;56.4230
2025-06-27T12:25:21.029534;56.4607
2025-06-27T12:25:21.059232;56.5149
2025-06-27T12:25:21.100573;56.5030
2025-06-27T12:25:21.122049;56.4911
2025-06-27T12:25:21.162751;56.5157
2025-06-27T12:25:21.195895;56.5004
2025-06-27T12:25:21.242085;56.4757
2025-06-27T12:25:21.251829;56.4730
2025-06-27T12:25:21.299652;56.3755
2025-06-27T12:25:21.330758;56.3708
2025-06-27T12:25:21.349002;56.3768
2025-06-27T12:25:21.394230;56.4354
2025-06-27T12:25:21.432119;56.4448
2025-06-27T12:25:21.461563;56.4848
